class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_suspicious,any_protective
0,185067,1,0.0005483415443450212,0.0005483415443450212,False,True,False
0,186096,2,0.005306422710418701,-0.0030297855846583843,False,False,True
0,186591,1,0.11253086477518082,0.11253086477518082,False,True,False
0,189016,1,0.1389171937480569,-0.1389171937480569,False,False,True
0,190019,4,4.109530709683895e-05,-3.0208437237888575e-05,False,False,True
0,192379,1,0.5225407369434834,-0.5225407369434834,False,False,True
0,192541,2,0.000341563718393445,-0.0002824557013809681,False,False,True
0,195779,1,0.05248385667800903,0.05248385667800903,False,True,False
0,196644,1,0.0015578116290271282,-0.0015578116290271282,False,False,True
0,202531,1,0.013822624459862709,-0.013822624459862709,False,False,True
0,204005,3,0.001678695436567068,-0.0005724692406753699,False,True,True
0,204548,1,0.0032622311264276505,-0.0032622311264276505,False,False,True
0,204565,1,0.07663502870127559,-0.07663502870127559,False,False,True
0,209642,1,0.012071912176907063,-0.012071912176907063,False,False,True
0,211569,1,0.0009008916094899178,-0.0009008916094899178,False,False,True
0,212152,1,0.07509985938668251,-0.07509985938668251,False,False,True
0,213328,2,0.0009407452307641506,-0.0007093439344316721,False,False,True
0,213331,1,0.005753243807703257,0.005753243807703257,False,True,False
0,215156,5,0.00012419698759913445,-4.999141674488783e-05,False,False,True
0,216847,1,0.6397876376286149,-0.6397876376286149,False,False,True
0,218560,1,0.0018067192286252975,-0.0018067192286252975,False,False,True
0,219466,1,0.0005343209486454725,0.0005343209486454725,False,True,False
0,225803,1,0.007562616840004921,-0.007562616840004921,False,False,True
0,229768,2,0.0006520759779959917,-0.0005156232509762049,False,False,True
0,231346,1,0.13541793636977673,-0.13541793636977673,False,False,True
0,231586,1,0.002729705534875393,-0.002729705534875393,False,False,True
0,232072,1,0.0001870973501354456,-0.0001870973501354456,False,False,True
0,232581,1,0.3512928131967783,-0.3512928131967783,False,False,True
0,232778,3,0.0004739768337458372,-0.00020455755293369293,False,False,True
0,239782,4,0.0012287257704883814,-2.7269823476672173e-05,False,True,True
0,241002,2,0.026587843894958496,-0.022465020418167114,False,False,True
0,241093,1,0.07598650176078081,-0.07598650176078081,False,False,True
0,247252,2,0.0004495352040976286,-0.0004423735663294792,False,False,True
0,248238,1,0.08313627727329731,-0.08313627727329731,False,False,True
0,249351,1,0.0002819907385855913,-0.0002819907385855913,False,False,True
0,249446,1,0.017243098933249712,-0.017243098933249712,False,False,True
0,254464,1,0.32134346663951874,-0.32134346663951874,False,False,True
0,254603,2,0.032424211502075195,0.011573553085327148,False,True,True
0,258962,2,0.1254710555076599,-0.022969797253608704,False,True,True
0,261641,1,0.009297744370996952,-0.009297744370996952,False,False,True
0,262455,2,0.030568517744541168,-0.017477303743362427,False,False,True
0,263434,1,0.09752437006682158,-0.09752437006682158,False,False,True
0,266821,1,0.006050293333828449,-0.006050293333828449,False,False,True
0,271251,1,0.21197008434683084,-0.21197008434683084,False,False,True
0,272345,1,0.003969046752899885,-0.003969046752899885,False,False,True
