neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1PXTsK9NoznnN2GoWG7gUfwYVWxBmQvYxu,1,0.07712122797966003,0.07712122797966003,-0.07712122797966003
1KqwzzS4Rt87bUSihhLCvi2mjZ53i28Dk1,1,0.07612847164273262,0.07612847164273262,-0.07612847164273262
1DnNbpJKecqrSA3ZP8oTWm3A7S93sqpBxt,1,0.07609765231609344,0.07609765231609344,-0.07609765231609344
3MMCb1DofhUKEpf4aGGs4rDj9QJs1HCrEJ,10,0.07393181324005127,0.007393181324005127,-0.007393181324005127
1Kw1NpZ1NCWgsjPKjjiH2fyQURL6dKMgFn,1,0.07381638884544373,0.07381638884544373,-0.07381638884544373
34JK3n7cnMCqaK8wQdNtFikdgjJoMVHTRp,1,0.07088524103164673,0.07088524103164673,-0.07088524103164673
17my9ExMmuyCBGSpC42jW7K1KPbCMEBnaL,1,0.06837040185928345,0.06837040185928345,0.06837040185928345
1MEe2mebed8wopvy8xyjjHcEQHUPVJn2UC,1,0.06583794765174389,0.06583794765174389,-0.06583794765174389
1MxJLAQnaJvBT2S5xu7GXJRvGCY3UYD5DX,1,0.06337529420852661,0.06337529420852661,-0.06337529420852661
19ScWFkhyDc6bDhSJ28xtj9juPq48V9Sv7,1,0.059348106384277344,0.059348106384277344,-0.059348106384277344
1Awqsuiy5Df6VMFvNq7SawDCGJWU4Rg3Ky,1,0.05801188945770264,0.05801188945770264,-0.05801188945770264
37keHMHKsGzLnCvNmtfv38o5EMqrFq4DK3,2,0.05611463729292154,0.02805731864646077,-0.02805731864646077
1Dmfzx6t7wqbUw2tRg1RPVf77RSQqxDf6Z,1,0.053237974643707275,0.053237974643707275,0.053237974643707275
1LbPfE9JkijxZpnF8cNpbhMzfrzH7MxoZf,1,0.05271401256322861,0.05271401256322861,-0.05271401256322861
1D7yke3meXP4NYaRhTmXJMu8dzLD8dqDDD,1,0.05259048938751221,0.05259048938751221,-0.05259048938751221
1APHyhaXs4wJ5utxAht8W1i9HXnr1GBxfF,1,0.05172079801559448,0.05172079801559448,-0.05172079801559448
17mqVbK2EuEbq3qUJbG84aB6MiYcDMSdXD,5,0.049598462879657745,0.00991969257593155,-0.007835994660854339
1BFqMBaQB9PjWczRUYUAmifGkD2dEejRaL,1,0.04208260774612427,0.04208260774612427,0.04208260774612427
3GX5iHbSJ4mc42BtqAQKtoyfYVRu9JKfuB,1,0.04167252779006958,0.04167252779006958,0.04167252779006958
1H1HkhfHuDa3PWi4cDn7u34mT3ePg2jL1g,1,0.03930273652076721,0.03930273652076721,-0.03930273652076721
19aEYBAZzz6hiysK1h9GfeF1hvXASRHHW5,1,0.03889642655849457,0.03889642655849457,-0.03889642655849457
1576YHZPqi9tjaPwZP5EMwsUhMRUU1MjP3,2,0.03547227382659912,0.01773613691329956,0.01773613691329956
37Es3qSdMZ5pc6E8ZFgbWM5YXLD4zG6B5b,1,0.03501272574067116,0.03501272574067116,0.03501272574067116
12gF9EAmod9AynTNtQGVtdF9o7nxMSviYE,1,0.033749453723430634,0.033749453723430634,-0.033749453723430634
15jeVC5uRRTDxqXPMV8fwqCN4mmkHS6F4y,1,0.03345543146133423,0.03345543146133423,-0.03345543146133423
1EgVDZjJeRYV7fEpGv5fi4bG6H4NtAX6Fa,1,0.03259468078613281,0.03259468078613281,-0.03259468078613281
1FRCAsP1c12HCjgGdTYDgwLnrwyA6dFwRE,1,0.03227558918297291,0.03227558918297291,-0.03227558918297291
1FvtWwP3ePJDeR6K7ZePGujUuusUTds8Vy,2,0.031014814972877502,0.015507407486438751,-0.015507407486438751
1WSa32tv9Cx1CNFoN7cY4QwEXm1yvQ5w1,1,0.030887484550476074,0.030887484550476074,-0.030887484550476074
