neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
14LiwZ3LeVVq7oBrSJ7wzkrX9Lfc23sx1C,1,0.05870020389556885,0.05870020389556885,-0.05870020389556885
1Kw1NpZ1NCWgsjPKjjiH2fyQURL6dKMgFn,1,0.05641889572143555,0.05641889572143555,-0.05641889572143555
1BVXAddKjbphVK5xXKeYcyorTPDgDBQHTu,1,0.055261433124542236,0.055261433124542236,-0.055261433124542236
15jeVC5uRRTDxqXPMV8fwqCN4mmkHS6F4y,1,0.05507361888885498,0.05507361888885498,-0.05507361888885498
1K569MWDfdKuDb8iP8EPkFMCJ2FSf1kduk,5,0.05281706154346466,0.010563412308692932,-0.010032716393470763
3BuQmbmdce3e31GEovq5SgowLdfMgJzLDE,1,0.05248385667800903,0.05248385667800903,0.05248385667800903
1Maa1F57e1VLEgActwP6ZjGmLTaFkqyREr,1,0.05247396230697632,0.05247396230697632,-0.05247396230697632
16tcubW3EVHnrVER133eDZwB7oiiAQPFF2,1,0.051112085580825806,0.051112085580825806,-0.051112085580825806
16FTZ3gTGqLZo5eV2zqkQwdn7oTsAnwTb4,8,0.0467895925976336,0.0058486990747042,0.004155737056862563
1576YHZPqi9tjaPwZP5EMwsUhMRUU1MjP3,2,0.046289682388305664,0.023144841194152832,0.023144841194152832
1FvtWwP3ePJDeR6K7ZePGujUuusUTds8Vy,2,0.0462753102183342,0.0231376551091671,-0.0231376551091671
17bggHMnBwxrULt778XA4U4X3ThaxvW4Rv,1,0.046254634857177734,0.046254634857177734,0.046254634857177734
1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,2,0.04462293954566121,0.022311469772830606,-0.022311469772830606
1NrpXy6x8SZAWfLGZ2nnDZZuGsj59BKxtz,1,0.04193359613418579,0.04193359613418579,-0.04193359613418579
1H7iXk3DJBgqShM3ADiKGggQmqMNUMhogm,2,0.041910404339432716,0.020955202169716358,-0.020955202169716358
14NimFe76Rnnkdr13WZkTgSj5A4X1xDqm9,1,0.041551053524017334,0.041551053524017334,-0.041551053524017334
1Hnm7hTr3WJsmGumZhnUNZGc5QnYpU3U73,3,0.04139667749404907,0.013798892498016357,-0.013798892498016357
1AxcwffUwfdsbj5J3yHDYZr6rRLXw9Tb75,4,0.04088744521141052,0.01022186130285263,-0.008377037942409515
3KHQYoaHMiDB2wsdcfsXCSJeE7woQ6GriH,1,0.03818851709365845,0.03818851709365845,-0.03818851709365845
35AnUd6znjGwzXZLa9tkjbAyAmaPeDwPPr,1,0.03592297434806824,0.03592297434806824,-0.03592297434806824
19ScWFkhyDc6bDhSJ28xtj9juPq48V9Sv7,1,0.035592734813690186,0.035592734813690186,0.035592734813690186
1D3hJYUeebLsmxtjDnzvWwaumax1ipefBa,1,0.03441810607910156,0.03441810607910156,-0.03441810607910156
1DnNbpJKecqrSA3ZP8oTWm3A7S93sqpBxt,1,0.03297531604766846,0.03297531604766846,-0.03297531604766846
17mqVbK2EuEbq3qUJbG84aB6MiYcDMSdXD,5,0.032704681158065796,0.006540936231613159,0.006540936231613159
19boad6B5Wv24K95Nu2ZyvYE9vi5SU2Yj5,1,0.032654374837875366,0.032654374837875366,0.032654374837875366
37Es3qSdMZ5pc6E8ZFgbWM5YXLD4zG6B5b,1,0.03251655399799347,0.03251655399799347,-0.03251655399799347
1BgfQbmjeptRbmDNhNPvgthQW14UAjTiy8,1,0.032424211502075195,0.032424211502075195,0.032424211502075195
12gF9EAmod9AynTNtQGVtdF9o7nxMSviYE,1,0.03212365508079529,0.03212365508079529,-0.03212365508079529
1PXTsK9NoznnN2GoWG7gUfwYVWxBmQvYxu,1,0.0309908390045166,0.0309908390045166,-0.0309908390045166
1KpQ9EU4bL7BnrgeqsjJt9fhfJ7JzC875T,1,0.03066958487033844,0.03066958487033844,-0.03066958487033844
3PJf9xLejoRJrNzNc38dNMhrsR7uTRty5w,1,0.030568517744541168,0.030568517744541168,-0.030568517744541168
1D35hXfShWo4BUBJ4WsK5ve8EAnLLH4g2e,1,0.030456513166427612,0.030456513166427612,-0.030456513166427612
1GQmweAj7Lqwzs4eD8u6DjGA8da2kaG93S,4,0.028056844603270292,0.007014211150817573,-0.007014211150817573
34JK3n7cnMCqaK8wQdNtFikdgjJoMVHTRp,1,0.026587843894958496,0.026587843894958496,-0.026587843894958496
3CwFFLcNBe3jdpVMRbrQpnX6J2QdydYXDy,2,0.02643925789743662,0.01321962894871831,0.01321962894871831
1AGvs3vZQ8rwhREcn1todsP1Cex6qZTCik,1,0.026403814554214478,0.026403814554214478,-0.026403814554214478
3H5JQ7oZmUmu53E6o53bNx7pjL69GqJYYc,1,0.026264522224664688,0.026264522224664688,0.026264522224664688
19txq91QziDSYfr5M3WwETThk4WnSH9FXU,1,0.02579563856124878,0.02579563856124878,-0.02579563856124878
3CVwmiZtHw2MB7tNRne5PAHdC48EoYZ2Kg,1,0.024893760681152344,0.024893760681152344,-0.024893760681152344
13dB5rpANbJjznNF7zDL7jFGzznc3SK3aU,1,0.024472355842590332,0.024472355842590332,0.024472355842590332
14mgSL6jyU6P8zmAV6SNQsD5Bp9R2dkgzW,1,0.02390589565038681,0.02390589565038681,-0.02390589565038681
1959snj1ovEnJP6ce9Aav2RuxDhZQEoCyh,2,0.021665257401764393,0.010832628700882196,0.005899765994399786
1G3QJPWEFiHwZjU5PK9SfNRge56vUTyn5S,1,0.02155303955078125,0.02155303955078125,-0.02155303955078125
15uepg7WpadtMYxc8Lzd1cyKKjLsZ4qhco,2,0.02122826804406941,0.010614134022034705,-0.010614134022034705
1Adnw7DhGpsxhZkNyHNvhfy8jSzfnW5Xoj,1,0.020918279886245728,0.020918279886245728,0.020918279886245728
14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,1,0.02038264274597168,0.02038264274597168,-0.02038264274597168
1KmZzMuFonWaqd4LE6ZMYdpQtVGYMqXoqG,1,0.019629627466201782,0.019629627466201782,-0.019629627466201782
3JwrLWjLai27iSAyN2KFotowLcAarGv94L,1,0.01902008056640625,0.01902008056640625,-0.01902008056640625
