class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_risk_increasing,any_protective
1,104074,1,0.44696807861328125,-0.44696807861328125,False,False,True
1,107771,2,0.17556390166282654,-0.08458898961544037,False,True,True
1,107862,1,0.09395194053649902,0.09395194053649902,False,True,False
1,109044,1,0.007657349109649658,-0.007657349109649658,False,False,True
1,109748,3,0.22195081412792206,-0.07255453243851662,False,True,True
1,111570,1,0.06341445446014404,-0.06341445446014404,False,False,True
1,111571,5,0.014771342277526855,-0.0031561732292175295,False,True,True
1,111572,8,0.009759068489074707,-0.0013906508684158325,True,True,True
1,112043,1,0.0007185335271060467,-0.0007185335271060467,False,False,True
1,112368,2,0.05172079801559448,-0.004819095134735107,False,True,True
1,112665,2,0.12519222497940063,-0.06676021218299866,False,False,True
1,115768,1,0.7031543999910355,0.7031543999910355,False,True,False
1,118151,2,0.030887484550476074,-0.021673131734132767,False,False,True
1,126736,1,0.11376941204071045,0.11376941204071045,False,True,False
1,129617,2,0.020022816956043243,-0.009381699375808239,False,True,True
1,129618,12,0.05271401256322861,-0.008959059603512287,False,True,True
1,134393,1,0.1087295413017273,-0.1087295413017273,True,False,True
1,135318,1,0.014450624585151672,0.014450624585151672,False,True,False
1,139343,13,0.3687049299478531,0.04089302168442653,False,True,True
1,141018,1,0.09171971678733826,0.09171971678733826,False,True,False
1,143697,1,0.15492455661296844,0.15492455661296844,False,True,False
1,143717,1,0.31820574402809143,-0.31820574402809143,False,False,True
1,144444,1,0.007565021514892578,-0.007565021514892578,False,False,True
1,148480,1,0.47315889596939087,0.47315889596939087,True,True,False
1,150306,1,0.007549464702606201,-0.007549464702606201,False,False,True
1,153653,1,0.00625455379486084,0.00625455379486084,False,True,False
1,154707,1,0.2002255916595459,0.2002255916595459,False,True,False
1,155496,1,0.470688171684742,0.470688171684742,False,True,False
1,156726,1,0.48851124197244644,0.48851124197244644,False,True,False
1,158841,1,0.014991402626037598,0.014991402626037598,False,True,False
1,159997,2,0.1189613789319992,-0.0626264289021492,False,False,True
1,162928,1,0.009665846824645996,-0.009665846824645996,False,False,True
1,163608,1,0.1843162178993225,-0.1843162178993225,True,False,True
1,165429,3,0.0027969274669885635,-0.001636308307449023,False,True,True
1,168435,2,0.09050314873456955,-0.04402551054954529,False,True,True
1,173231,1,0.5332079529762268,0.5332079529762268,False,True,False
1,176866,2,0.002750694751739502,-0.0017908215522766113,False,False,True
1,177767,1,0.007670283317565918,0.007670283317565918,False,True,False
1,178656,1,0.23643237352371216,-0.23643237352371216,False,False,True
1,179707,2,0.07712122797966003,-0.05035316199064255,False,False,True
1,179885,1,0.014991402626037598,0.014991402626037598,False,True,False
1,180653,1,0.280720591545105,-0.280720591545105,False,False,True
1,185803,1,0.007581949234008789,-0.007581949234008789,False,False,True
1,186169,2,0.04799526929855347,-0.031017933040857315,False,False,True
1,187342,1,0.01812386862002313,0.01812386862002313,False,True,False
1,188832,2,0.05801188945770264,-0.03055533766746521,False,False,True
1,189193,2,0.02133692428469658,-0.014581073075532913,False,False,True
